state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn,churn_0_1
NM,178,area_code_415,no,yes,35,175.4,88,190.0,65,138.7,94,10.5,3,2,no,0
SC,112,area_code_415,no,no,0,266.0,97,214.6,94,306.2,100,14.2,2,2,yes,1
NJ,108,area_code_415,no,yes,41,171.6,110,136.1,78,183.4,103,10.8,7,0,no,0
AZ,100,area_code_510,no,no,0,78.7,98,225.6,102,150.4,106,14.0,8,0,no,0
RI,121,area_code_510,no,yes,20,211.9,110,215.1,120,238.5,107,9.4,2,0,no,0
SD,116,area_code_415,no,no,0,63.7,101,195.8,95,210.1,87,10.0,6,1,no,0
NH,161,area_code_415,no,no,0,173.4,100,213.7,74,141.5,69,11.5,4,1,no,0
WV,104,area_code_415,no,no,0,225.9,123,162.8,106,272.1,85,10.1,4,1,no,0
ID,119,area_code_415,yes,yes,32,173.0,101,209.4,93,231.1,91,12.2,4,0,no,0
MD,125,area_code_415,no,no,0,224.9,102,143.8,87,198.9,105,8.0,2,0,no,0
WY,109,area_code_415,no,no,0,137.0,128,217.0,116,182.1,86,10.0,5,2,no,0
NH,95,area_code_510,no,no,0,142.5,109,176.1,107,189.6,88,8.2,3,2,no,0
MN,90,area_code_408,no,no,0,142.4,126,126.2,118,274.2,71,4.6,4,1,no,0
MA,105,area_code_415,no,yes,21,147.0,112,197.3,43,267.4,93,8.7,3,2,no,0
MN,95,area_code_415,no,no,0,149.2,96,260.7,116,201.0,120,8.1,2,1,no,0
NY,160,area_code_408,no,no,0,216.8,77,207.3,117,228.6,117,5.6,2,1,no,0
AL,141,area_code_510,no,yes,28,308.0,123,247.8,128,152.9,103,7.4,3,1,no,0
WV,87,area_code_415,no,no,0,58.0,125,67.5,116,185.9,136,11.5,3,0,no,0
NM,81,area_code_415,no,no,0,173.2,80,236.2,94,240.2,84,11.8,6,2,no,0
CA,75,area_code_415,no,yes,19,210.3,90,241.8,87,215.7,102,13.1,3,4,no,0
MA,126,area_code_408,no,yes,24,58.9,125,305.5,90,158.9,73,12.1,6,0,no,0
ME,28,area_code_415,no,no,0,236.8,102,167.1,87,280.2,115,9.7,3,3,no,0
FL,153,area_code_415,no,no,0,228.9,102,160.7,136,203.1,109,12.5,2,0,no,0
MA,17,area_code_415,yes,no,0,162.8,118,229.6,91,332.7,94,13.6,3,0,yes,1
TX,121,area_code_415,no,no,0,86.1,100,259.8,113,148.0,79,9.1,9,2,no,0
NC,125,area_code_408,no,no,0,212.3,89,215.4,127,186.8,73,11.3,2,2,no,0
CT,124,area_code_415,no,no,0,151.0,98,120.6,119,152.8,81,9.2,2,2,no,0
NJ,35,area_code_408,no,no,0,158.6,67,130.4,96,229.8,80,6.9,5,2,no,0
WY,134,area_code_510,no,no,0,296.0,93,226.4,117,246.8,98,12.3,10,0,yes,1
LA,123,area_code_510,no,yes,32,212.3,77,251.5,78,208.7,85,6.6,2,3,no,0
NV,124,area_code_415,no,no,0,234.4,61,179.3,111,285.5,117,10.4,6,3,no,0
WV,133,area_code_510,no,no,0,176.8,92,187.5,97,196.8,88,6.5,3,2,no,0
AR,185,area_code_415,no,yes,19,157.3,123,257.7,94,190.4,107,9.6,6,0,no,0
KS,107,area_code_415,no,no,0,260.5,108,102.4,110,129.7,148,9.8,5,1,no,0
MI,178,area_code_408,yes,no,0,124.5,134,141.2,78,268.2,113,11.4,2,2,yes,1
MA,123,area_code_415,no,no,0,209.4,49,237.4,117,239.2,98,9.8,11,1,no,0
UT,170,area_code_415,no,no,0,285.7,44,167.5,144,260.0,97,8.7,4,1,yes,1
HI,135,area_code_415,no,no,0,190.9,44,161.4,109,231.9,100,8.4,2,1,no,0
OR,134,area_code_415,no,yes,50,208.8,130,132.9,104,136.7,107,11.1,4,2,no,0
TN,148,area_code_415,no,yes,36,77.6,141,207.0,60,255.7,115,10.9,2,1,no,0
CT,93,area_code_415,no,no,0,271.1,101,237.4,133,145.4,103,8.4,6,1,yes,1
AZ,138,area_code_415,no,no,0,240.8,104,144.5,92,125.7,98,11.6,1,0,no,0
OR,159,area_code_510,no,no,0,114.8,98,192.6,101,259.0,108,12.2,5,0,no,0
DE,103,area_code_415,no,yes,34,138.8,80,142.0,108,183.8,77,11.8,7,1,no,0
MA,150,area_code_408,no,yes,27,209.8,112,155.0,80,251.5,111,7.2,6,0,no,0
CT,37,area_code_408,no,no,0,134.9,98,248.4,130,236.2,113,14.7,2,3,no,0
AR,33,area_code_415,yes,no,0,164.0,99,153.1,102,123.8,104,6.4,4,0,no,0
SD,55,area_code_415,no,no,0,245.5,130,192.7,54,141.7,83,9.1,4,1,no,0
CT,134,area_code_408,no,yes,32,80.3,94,199.9,124,170.8,117,16.6,3,0,no,0
CT,107,area_code_408,no,no,0,90.7,90,207.5,109,169.4,96,5.6,5,2,no,0
MA,80,area_code_408,no,yes,36,190.3,115,256.6,78,214.9,145,3.8,4,1,no,0
MS,78,area_code_408,no,no,0,108.6,108,209.9,126,222.6,117,7.9,5,1,yes,1
AK,61,area_code_415,no,yes,15,252.4,106,187.8,69,259.6,137,10.0,3,2,no,0
DE,97,area_code_415,no,yes,32,183.4,94,269.1,120,203.5,38,6.7,4,5,no,0
OH,136,area_code_408,yes,no,0,183.4,103,141.9,113,200.4,122,10.4,9,2,no,0
MN,135,area_code_408,no,no,0,155.2,100,135.9,84,184.6,82,3.8,9,3,no,0
CA,87,area_code_415,no,yes,19,165.8,122,186.9,89,249.7,78,0.0,0,1,no,0
OH,165,area_code_510,no,no,0,209.4,67,273.8,89,150.2,88,12.8,1,0,no,0
NV,148,area_code_415,no,no,0,279.3,104,201.6,87,280.8,99,7.9,2,2,yes,1
NM,127,area_code_415,yes,no,0,256.5,87,222.1,101,156.7,122,13.0,3,1,no,0
WY,151,area_code_415,no,no,0,170.2,89,187.5,83,119.5,100,4.3,3,0,no,0
CA,185,area_code_408,no,no,0,139.6,92,250.2,115,158.1,79,10.8,4,1,no,0
KS,65,area_code_415,no,yes,34,208.8,119,142.1,106,214.6,87,12.5,4,4,no,0
WY,58,area_code_510,no,no,0,210.1,126,248.9,108,158.6,88,14.4,2,4,no,0
UT,44,area_code_415,no,no,0,202.6,89,163.0,96,268.1,151,8.3,3,0,no,0
MA,58,area_code_408,no,no,0,174.4,112,265.8,122,182.4,87,0.0,0,4,no,0
UT,108,area_code_415,no,no,0,210.6,117,164.2,103,201.4,68,9.4,5,0,no,0
MN,132,area_code_510,no,no,0,121.5,88,253.0,124,195.7,120,10.7,4,1,no,0
NE,80,area_code_415,no,no,0,127.8,67,181.6,112,197.3,63,15.9,2,2,no,0
OH,162,area_code_415,no,no,0,135.2,98,242.0,107,246.9,96,10.2,2,2,no,0
KY,110,area_code_510,no,no,0,99.4,62,275.0,86,212.1,94,16.7,3,2,no,0
WA,96,area_code_415,no,no,0,276.9,105,246.9,94,254.4,107,10.3,3,1,yes,1
IN,72,area_code_510,no,no,0,287.4,116,235.3,126,292.1,114,5.0,3,4,yes,1
CO,125,area_code_408,no,yes,23,120.5,104,227.8,115,158.5,100,10.2,3,1,no,0
DC,170,area_code_510,no,no,0,184.1,106,204.9,70,224.3,133,9.8,3,2,no,0
AK,71,area_code_510,no,no,0,185.0,84,232.5,129,191.1,82,14.9,4,3,no,0
SC,124,area_code_415,no,no,0,160.9,109,144.2,152,120.4,97,12.9,12,1,no,0
UT,97,area_code_415,no,no,0,209.2,134,0.0,0,175.4,94,11.8,6,1,no,0
IL,98,area_code_510,yes,no,0,158.4,71,306.6,66,144.2,93,2.1,4,1,no,0
DC,24,area_code_408,no,no,0,149.0,73,131.0,81,238.6,69,8.6,3,2,yes,1
DC,136,area_code_510,no,no,0,204.5,63,208.8,95,224.0,119,9.8,2,0,no,0
OK,44,area_code_408,no,no,0,288.8,86,175.9,87,215.4,106,9.5,2,0,yes,1
KY,96,area_code_415,no,yes,40,108.6,90,206.4,154,126.3,118,13.4,4,0,no,0
NE,31,area_code_415,no,no,0,97.5,129,260.4,78,88.7,100,7.0,5,1,no,0
AL,72,area_code_415,no,no,0,166.5,102,261.0,103,262.7,85,13.3,5,0,no,0
HI,24,area_code_415,no,no,0,156.2,104,90.0,101,205.1,116,7.3,5,1,no,0
GA,117,area_code_415,yes,no,0,287.4,118,259.6,84,153.2,86,10.0,3,1,yes,1
KS,137,area_code_415,no,yes,19,175.3,96,241.3,146,211.4,109,7.8,2,0,no,0
PA,136,area_code_408,no,no,0,102.1,75,219.5,97,73.7,92,9.8,5,0,no,0
UT,95,area_code_415,no,no,0,157.9,103,259.6,90,230.0,117,14.0,2,0,no,0
OR,82,area_code_415,no,yes,19,146.5,73,246.4,65,199.0,114,4.1,4,1,no,0
ND,145,area_code_415,no,no,0,245.8,116,286.7,91,240.7,115,9.0,13,1,yes,1
MN,155,area_code_408,yes,no,0,250.8,146,152.5,105,148.1,104,10.0,5,2,no,0
TX,53,area_code_415,no,no,0,119.7,113,189.7,84,256.2,108,12.9,7,2,no,0
WY,123,area_code_415,no,no,0,242.2,87,226.1,101,268.6,121,8.2,3,5,yes,1
GA,136,area_code_415,no,no,0,163.4,83,249.3,119,249.7,90,9.8,4,7,no,0
TX,57,area_code_415,no,no,0,161.0,113,208.0,134,208.1,81,8.4,4,3,no,0
WV,62,area_code_408,no,no,0,128.7,111,169.5,104,193.6,97,10.3,5,1,no,0
NM,112,area_code_415,no,no,0,81.6,94,268.1,112,140.8,75,8.6,18,1,no,0
MI,55,area_code_415,no,yes,20,207.7,91,199.7,113,216.5,110,7.3,1,1,no,0
NY,125,area_code_415,no,no,0,233.3,65,209.8,93,210.6,109,9.1,4,1,no,0
KY,98,area_code_415,no,yes,36,168.0,81,163.2,125,172.7,120,8.0,2,6,yes,1
SD,105,area_code_415,no,no,0,251.6,88,175.1,103,184.4,112,5.4,5,1,no,0
ID,113,area_code_415,no,yes,30,183.8,102,183.4,123,235.0,52,11.6,7,0,no,0
OR,99,area_code_408,no,no,0,256.4,44,214.5,105,233.7,75,7.9,1,3,yes,1
WI,103,area_code_415,no,no,0,180.2,134,97.7,85,181.7,134,8.4,3,1,no,0
WV,177,area_code_408,no,no,0,227.8,81,161.8,97,217.0,106,8.0,5,1,no,0
SC,149,area_code_415,no,yes,20,147.8,132,276.8,94,149.9,110,10.2,6,0,no,0
CT,160,area_code_415,no,no,0,234.9,136,270.8,134,219.3,101,13.9,2,1,yes,1
NV,116,area_code_408,no,no,0,110.9,54,213.4,82,186.2,116,7.9,2,2,no,0
MI,148,area_code_415,yes,no,0,233.5,81,187.7,71,122.3,97,9.6,2,0,yes,1
MT,147,area_code_415,no,yes,35,197.3,134,141.1,99,212.1,90,10.1,4,2,yes,1
NE,95,area_code_510,no,no,0,58.2,96,202.1,126,210.5,97,10.4,5,0,no,0
UT,201,area_code_510,no,no,0,212.7,72,225.2,90,195.1,99,7.0,6,1,no,0
WV,80,area_code_415,no,no,0,151.5,89,131.7,78,235.3,131,11.8,4,0,no,0
AR,122,area_code_415,yes,no,0,146.3,117,218.7,93,236.0,97,11.5,5,1,no,0
MT,132,area_code_408,no,no,0,195.1,100,148.8,95,224.5,117,6.7,2,0,no,0
UT,83,area_code_510,no,no,0,208.9,71,214.8,92,247.9,108,13.0,5,1,no,0
HI,99,area_code_408,no,no,0,135.7,107,208.4,103,209.0,95,8.8,3,7,yes,1
KS,84,area_code_415,no,no,0,225.9,86,275.6,105,201.4,108,14.3,3,3,yes,1
OH,87,area_code_510,no,no,0,153.3,106,224.5,117,273.4,152,8.9,5,2,no,0
IN,7,area_code_415,no,no,0,206.7,87,281.1,83,158.5,77,11.0,5,3,no,0
OR,89,area_code_415,no,yes,12,188.0,105,151.3,107,201.9,132,10.5,3,2,no,0
NY,131,area_code_408,yes,no,0,122.3,83,118.8,94,147.9,95,13.7,3,3,yes,1
VA,105,area_code_415,no,no,0,259.3,96,175.2,97,222.4,36,12.0,5,3,no,0
MI,108,area_code_408,yes,no,0,115.1,114,211.3,70,136.1,85,13.8,3,2,yes,1
ID,47,area_code_415,no,yes,28,172.9,109,137.6,94,203.8,109,8.3,6,1,no,0
MO,101,area_code_415,yes,no,0,156.4,116,130.4,114,207.3,109,7.3,5,1,no,0
AL,182,area_code_415,no,yes,24,128.1,104,143.4,127,191.0,98,11.6,3,1,no,0
VT,128,area_code_408,no,no,0,227.9,130,302.6,71,191.5,82,5.5,7,1,yes,1
AZ,69,area_code_415,no,yes,31,194.9,63,191.6,90,153.0,129,13.2,2,2,no,0
VA,113,area_code_408,no,yes,34,44.9,63,134.2,82,168.4,118,13.3,3,1,no,0
PA,87,area_code_408,no,yes,30,262.8,114,215.8,130,154.8,88,7.8,2,0,no,0
CO,71,area_code_415,no,no,0,211.2,70,252.7,122,225.8,104,12.3,3,0,no,0
NJ,87,area_code_510,no,no,0,223.2,109,127.5,86,289.3,83,14.5,4,3,no,0
IL,117,area_code_408,no,no,0,119.0,82,187.5,108,189.3,97,11.5,3,1,no,0
WA,177,area_code_415,no,no,0,266.1,91,225.2,79,224.7,58,8.9,8,3,yes,1
OH,66,area_code_415,no,no,0,170.5,103,254.3,77,197.3,138,10.5,2,2,no,0
MO,110,area_code_415,no,no,0,178.5,124,146.9,141,217.1,102,9.9,7,1,no,0
MD,204,area_code_510,no,no,0,205.2,145,154.8,95,191.4,77,14.1,5,3,no,0
OH,32,area_code_415,no,yes,31,232.8,97,183.5,111,206.8,111,13.0,2,0,no,0
VA,133,area_code_408,no,yes,39,239.9,107,253.8,77,128.7,85,6.7,3,5,no,0
FL,185,area_code_408,no,no,0,55.6,97,288.7,83,111.2,110,12.1,3,2,no,0
NY,91,area_code_510,no,no,0,109.8,100,189.6,104,206.7,85,11.1,3,1,no,0
WV,131,area_code_415,no,no,0,196.1,89,185.5,87,250.0,132,5.2,6,2,no,0
LA,153,area_code_510,no,no,0,166.8,127,143.5,121,210.7,130,11.8,4,0,no,0
AL,141,area_code_408,no,no,0,242.8,90,234.1,80,211.5,104,6.0,3,5,no,0
TX,169,area_code_408,no,no,0,266.7,105,158.2,88,287.7,111,13.8,3,3,yes,1
ND,127,area_code_415,no,yes,23,182.0,80,216.1,85,156.9,82,9.8,4,1,no,0
CO,57,area_code_415,no,no,0,85.9,92,193.9,127,231.5,93,10.1,2,0,no,0
LA,123,area_code_415,no,yes,33,146.6,87,114.8,59,220.4,99,2.9,7,0,no,0
MT,103,area_code_510,no,yes,35,110.5,101,208.3,81,87.4,77,13.9,2,4,yes,1
OR,101,area_code_415,no,no,0,118.6,89,199.6,97,53.3,61,11.5,5,1,no,0
NH,123,area_code_415,no,yes,22,197.6,105,80.0,86,120.8,82,15.6,12,2,no,0
NE,78,area_code_510,no,yes,32,210.3,116,192.2,83,246.1,92,10.8,4,6,no,0
WV,101,area_code_415,no,yes,28,220.3,96,285.8,72,203.0,111,9.4,6,4,no,0
MA,67,area_code_415,no,yes,34,161.7,114,207.6,115,205.7,114,9.2,4,0,no,0
KY,64,area_code_415,yes,no,0,146.7,83,148.3,91,238.6,69,12.5,3,3,no,0
WV,173,area_code_510,no,no,0,109.4,103,101.3,111,167.3,106,7.8,7,1,no,0
KY,135,area_code_510,no,no,0,144.1,115,249.8,68,211.4,82,13.6,3,1,no,0
NJ,75,area_code_415,no,yes,42,248.9,93,170.8,108,104.5,91,11.2,8,1,no,0
ME,88,area_code_415,no,no,0,85.7,112,221.6,70,190.6,75,11.6,3,4,yes,1
TX,112,area_code_415,no,no,0,214.8,112,209.7,104,164.4,97,9.4,5,3,no,0
MN,113,area_code_408,no,no,0,158.9,137,242.8,109,247.8,97,6.5,4,0,no,0
VA,121,area_code_510,no,yes,28,110.0,94,141.5,76,237.3,87,6.4,3,2,no,0
DC,70,area_code_415,no,no,0,152.8,145,183.6,102,151.8,75,10.5,2,1,no,0
MD,90,area_code_415,no,no,0,145.6,103,197.1,137,294.5,83,10.5,4,0,no,0
RI,39,area_code_408,no,no,0,93.3,83,199.6,114,206.2,104,6.5,4,0,no,0
MA,142,area_code_408,no,no,0,216.8,134,187.8,106,138.1,108,8.3,2,0,no,0
MD,176,area_code_408,no,no,0,201.9,101,154.7,78,164.4,79,9.0,2,1,no,0
NM,105,area_code_408,no,no,0,146.4,81,225.1,80,230.1,117,8.5,2,1,no,0
MN,57,area_code_415,no,no,0,272.7,74,224.9,85,178.2,104,10.5,3,2,yes,1
AZ,88,area_code_415,no,no,0,172.8,81,193.4,90,89.6,107,12.8,5,2,no,0
AL,95,area_code_408,no,no,0,190.2,119,157.1,70,181.5,120,14.0,6,0,no,0
MI,147,area_code_415,no,no,0,130.6,83,208.1,144,204.6,72,15.6,3,3,no,0
SC,101,area_code_415,no,no,0,158.4,92,188.0,117,219.7,125,13.5,4,4,yes,1
MS,115,area_code_415,no,no,0,166.5,111,236.2,98,205.6,92,15.6,2,1,no,0
MS,103,area_code_415,no,no,0,129.3,103,202.8,89,233.0,126,12.9,2,2,no,0
CA,82,area_code_415,no,no,0,199.3,112,193.4,120,254.4,117,7.0,10,0,no,0
MD,141,area_code_415,no,no,0,185.1,126,233.0,98,152.2,106,9.1,7,0,no,0
ND,149,area_code_408,no,no,0,175.4,80,197.4,127,188.2,102,9.7,2,2,no,0
IL,131,area_code_510,no,no,0,263.4,123,151.9,74,218.5,101,10.7,2,2,no,0
SD,119,area_code_510,no,no,0,94.2,108,264.1,100,203.7,79,7.3,3,1,no,0
AL,112,area_code_510,no,no,0,189.4,83,219.0,89,168.0,116,7.1,8,3,no,0
NV,116,area_code_510,no,yes,35,118.0,103,167.2,106,205.7,102,11.8,2,2,no,0
LA,94,area_code_415,no,no,0,212.1,98,189.4,89,352.2,95,8.4,5,3,no,0
DE,114,area_code_415,no,yes,31,222.8,98,180.5,105,151.3,101,13.0,4,0,no,0
CT,63,area_code_408,no,yes,25,190.0,137,116.6,76,141.5,110,12.2,2,1,no,0
CO,130,area_code_408,no,no,0,271.8,129,237.2,128,210.1,91,8.7,2,4,yes,1
MA,122,area_code_408,no,yes,29,195.4,83,268.2,93,168.0,95,8.4,6,3,no,0
OR,166,area_code_510,no,no,0,199.6,93,214.3,99,196.8,110,7.2,5,3,no,0
SC,78,area_code_415,no,yes,21,160.6,85,223.1,79,124.0,92,9.5,1,2,no,0
IN,148,area_code_415,no,yes,26,158.7,91,160.5,127,218.3,88,9.9,3,1,no,0
MD,154,area_code_510,no,no,0,154.5,122,214.2,71,178.0,105,12.0,2,3,yes,1
NV,110,area_code_408,no,yes,34,192.3,114,129.3,114,136.3,102,6.3,12,1,no,0
TX,75,area_code_415,no,no,0,305.1,106,188.0,115,235.4,116,8.5,5,0,yes,1
WV,113,area_code_510,no,no,0,72.5,88,204.0,112,117.9,118,6.6,3,1,no,0
CO,181,area_code_510,no,yes,40,105.2,61,341.3,79,165.7,97,6.3,3,2,no,0
TX,51,area_code_415,no,no,0,180.5,88,134.7,102,170.7,97,10.0,3,2,no,0
FL,102,area_code_408,no,yes,29,214.7,86,314.3,109,280.2,110,14.3,2,0,no,0
AL,107,area_code_408,no,no,0,86.8,95,108.1,85,204.3,87,13.2,3,1,no,0
WV,88,area_code_510,no,no,0,131.5,99,174.8,128,184.2,83,7.9,2,5,yes,1
MI,82,area_code_415,no,no,0,135.4,102,237.1,122,118.3,91,17.5,4,0,no,0
NY,204,area_code_415,no,no,0,174.3,85,254.1,95,176.4,96,5.9,3,6,no,0
MS,130,area_code_510,no,no,0,203.9,63,191.8,93,132.5,125,12.1,4,3,no,0
MO,174,area_code_510,no,no,0,235.5,108,142.3,143,316.7,131,12.5,5,0,no,0
AR,129,area_code_415,no,no,0,157.0,113,256.9,97,185.5,126,12.1,2,2,no,0
MS,190,area_code_415,yes,no,0,111.9,55,223.0,124,243.2,81,10.0,7,3,no,0
NY,54,area_code_510,yes,no,0,236.3,91,152.8,130,160.3,98,11.2,8,3,no,0
SD,78,area_code_408,no,no,0,163.6,88,283.4,93,262.1,108,8.6,9,0,no,0
AK,100,area_code_415,no,yes,29,213.6,127,175.9,82,207.2,100,8.9,3,1,no,0
WV,70,area_code_510,no,yes,30,143.4,72,170.0,92,127.9,68,9.4,4,3,no,0
VA,117,area_code_408,no,no,0,97.1,98,228.0,131,240.0,111,10.6,3,1,no,0
MS,68,area_code_415,no,no,0,94.1,93,147.6,80,213.5,85,10.1,2,0,no,0
SD,27,area_code_510,no,no,0,226.3,95,274.3,109,242.7,119,8.2,3,2,yes,1
AL,181,area_code_415,no,yes,27,190.3,93,249.0,127,215.7,82,10.6,4,1,no,0
ME,112,area_code_415,no,no,0,185.4,114,191.4,119,144.0,78,10.0,11,2,no,0
GA,93,area_code_415,no,no,0,179.5,121,191.9,131,165.5,125,12.0,4,0,no,0
AZ,102,area_code_408,no,no,0,158.0,94,207.9,100,190.4,120,10.1,10,0,no,0
MA,93,area_code_415,no,no,0,173.0,131,190.4,108,290.0,66,10.4,2,0,no,0
AZ,107,area_code_415,no,yes,32,134.2,101,211.9,145,167.6,138,8.2,5,1,no,0
IN,100,area_code_415,no,yes,32,125.2,123,230.9,101,192.0,106,12.6,9,3,no,0
DE,115,area_code_415,no,no,0,195.9,111,227.0,108,313.2,113,13.2,1,2,no,0
WI,63,area_code_510,no,yes,13,214.2,61,181.2,88,174.0,68,10.3,2,0,no,0
ME,57,area_code_415,no,no,0,221.1,101,236.7,65,252.3,137,9.5,1,0,no,0
DC,119,area_code_408,no,yes,26,132.0,100,173.3,121,203.5,108,11.6,5,1,no,0
GA,73,area_code_408,no,no,0,157.6,92,198.3,87,364.9,106,9.1,4,1,no,0
HI,98,area_code_408,no,yes,30,110.3,71,182.4,108,183.8,88,11.0,8,2,no,0
VA,139,area_code_415,yes,no,0,161.5,121,192.9,137,168.3,96,11.2,13,0,no,0
NY,31,area_code_408,no,yes,28,171.8,116,240.7,125,245.5,80,10.6,7,1,no,0
PA,129,area_code_510,no,yes,32,211.0,99,155.1,89,234.8,96,11.4,5,1,no,0
AR,115,area_code_415,no,no,0,139.3,89,192.3,95,151.0,75,9.3,3,7,yes,1
HI,108,area_code_415,no,no,0,291.6,99,221.1,93,229.2,110,14.0,9,2,yes,1
DE,139,area_code_408,no,no,0,139.0,110,132.9,93,272.0,120,12.1,1,0,no,0
WV,102,area_code_408,no,no,0,234.8,125,199.2,99,163.2,88,10.0,1,4,no,0
OK,149,area_code_408,no,no,0,187.6,83,201.4,81,264.2,79,8.8,1,1,no,0
OR,113,area_code_415,no,no,0,159.8,143,210.1,93,175.1,86,13.1,7,2,no,0
ND,131,area_code_408,no,yes,33,177.1,100,194.0,85,253.4,124,5.2,5,1,no,0
MO,83,area_code_408,no,no,0,117.9,101,160.4,92,235.3,150,11.4,10,0,no,0
AR,96,area_code_415,no,yes,21,247.6,95,256.3,150,158.6,72,10.8,6,2,no,0
GA,98,area_code_408,no,no,0,169.9,77,138.3,155,142.6,105,8.5,7,1,no,0
TN,3,area_code_415,no,no,0,185.0,120,203.7,129,170.5,89,14.1,3,3,no,0
MA,77,area_code_408,no,yes,17,204.9,84,201.0,102,219.7,97,11.3,5,0,no,0
ND,75,area_code_408,no,yes,24,225.5,119,182.0,108,270.9,106,9.4,2,3,no,0
IA,40,area_code_510,no,no,0,169.7,115,141.4,123,253.0,115,10.5,3,4,yes,1
NJ,108,area_code_415,no,no,0,239.3,102,223.4,127,251.4,104,10.6,6,0,no,0
MT,100,area_code_415,no,no,0,113.3,96,197.9,89,284.5,93,11.7,2,4,yes,1
AL,16,area_code_415,no,no,0,161.9,100,230.1,138,148.8,78,10.2,11,3,no,0
NY,115,area_code_510,no,yes,16,133.3,110,185.7,111,161.5,113,5.6,4,2,no,0
PA,108,area_code_510,no,yes,25,170.7,88,109.9,113,165.7,99,8.7,1,3,no,0
NC,161,area_code_415,no,no,0,322.3,100,230.4,135,241.5,104,7.8,5,2,yes,1
CT,147,area_code_415,no,no,0,124.4,74,320.9,78,157.2,126,10.4,4,2,no,0
MO,107,area_code_415,no,no,0,146.9,94,114.3,111,114.5,97,11.4,5,3,no,0
WV,120,area_code_510,no,no,0,192.6,123,206.4,105,283.2,93,10.8,3,1,no,0
NJ,107,area_code_408,no,yes,36,96.3,83,179.6,91,166.3,121,10.3,2,1,no,0
AK,58,area_code_510,no,no,0,131.9,96,167.6,107,205.9,106,14.7,5,3,no,0
LA,91,area_code_408,no,no,0,147.2,121,175.2,87,136.3,80,13.3,3,2,no,0
AL,13,area_code_415,no,no,0,143.1,139,239.6,88,221.7,123,7.1,5,2,no,0
IN,104,area_code_408,no,no,0,280.4,127,179.4,79,150.6,77,15.2,6,5,no,0
MA,93,area_code_415,no,yes,31,237.2,85,213.1,100,192.7,87,10.7,4,1,no,0
DE,95,area_code_510,no,no,0,184.2,95,181.6,101,143.4,113,12.8,4,2,no,0
SC,104,area_code_415,no,no,0,109.1,141,187.1,140,216.6,100,10.0,4,3,no,0
NH,35,area_code_408,no,no,0,138.1,115,158.2,82,215.7,118,10.3,2,5,yes,1
MS,143,area_code_510,no,no,0,155.4,112,290.9,92,228.4,91,13.9,5,1,no,0
NM,62,area_code_415,no,no,0,245.3,91,122.9,130,228.4,102,8.5,4,4,no,0
WA,60,area_code_415,yes,no,0,205.9,97,277.4,117,202.0,139,11.0,2,0,yes,1
ME,56,area_code_408,no,no,0,221.9,112,278.2,122,288.1,85,7.1,5,0,yes,1
NM,183,area_code_415,no,no,0,190.0,100,246.6,78,304.2,107,9.5,4,1,no,0
AZ,94,area_code_415,no,no,0,220.8,111,156.2,67,187.9,89,10.5,4,2,no,0
CT,73,area_code_415,no,yes,47,173.7,117,204.0,114,174.6,94,6.3,3,2,no,0
IL,123,area_code_408,no,no,0,114.8,94,150.0,104,268.6,119,9.6,4,2,no,0
IN,64,area_code_408,no,no,0,113.8,97,192.3,97,214.9,89,10.4,1,3,no,0
AR,127,area_code_415,yes,no,0,143.2,60,179.5,159,171.8,122,6.2,4,4,yes,1
RI,33,area_code_415,no,no,0,184.4,111,203.8,110,237.4,100,9.3,5,3,no,0
NH,123,area_code_408,no,no,0,224.0,99,210.7,80,231.9,75,2.1,5,0,no,0
NV,148,area_code_510,no,no,0,216.2,95,185.7,105,300.0,143,10.0,5,2,no,0
UT,81,area_code_415,no,no,0,129.9,121,230.1,105,140.5,123,13.3,3,0,no,0
MI,52,area_code_415,no,no,0,204.4,97,273.2,128,179.6,118,11.0,5,1,no,0
WI,91,area_code_408,no,yes,44,216.6,101,173.1,98,242.1,95,9.1,3,1,no,0
NH,152,area_code_510,no,no,0,228.1,93,136.4,106,197.3,107,9.0,2,1,no,0
TX,201,area_code_415,no,no,0,225.9,110,299.1,86,251.3,81,11.2,4,1,yes,1
ID,78,area_code_415,no,no,0,103.5,115,117.9,102,201.0,94,12.0,3,4,yes,1
CT,67,area_code_415,no,no,0,115.5,70,252.2,143,208.9,91,7.5,6,0,no,0
NH,100,area_code_408,no,no,0,218.8,125,148.3,102,277.8,97,9.7,6,1,no,0
WY,41,area_code_510,no,no,0,223.8,67,244.8,74,223.8,156,12.3,5,3,no,0
OR,133,area_code_415,no,no,0,143.8,71,184.0,131,275.5,132,12.9,4,3,no,0
SC,36,area_code_408,no,yes,43,29.9,123,129.1,117,325.9,105,8.6,6,2,no,0
MD,51,area_code_510,no,yes,28,276.7,121,203.7,99,246.2,88,8.3,3,0,no,0
NM,84,area_code_408,no,yes,41,153.9,102,140.7,117,217.7,101,12.8,5,1,no,0
LA,91,area_code_415,no,no,0,190.5,128,205.5,103,130.7,63,13.8,5,0,no,0
UT,110,area_code_408,no,no,0,192.6,102,178.9,118,214.6,74,9.4,4,1,no,0
DE,121,area_code_408,no,no,0,215.6,74,192.9,98,144.0,103,10.1,4,5,no,0
